id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
37083404,Sunny Second Floor Apartment,278928421,Maria Suzy,,Irving Park,41.94093,-87.73816,Entire home/apt,84,2,6,2019-10-20,1.64,1,346
37087610,Affordable Chicago Apartment,188912790,Star,,North Lawndale,41.85714,-87.70662,Entire home/apt,85,1,4,2019-10-20,1.09,2,0
37088421,Sonder | Essex on the Park | Dashing Studio + View,12243051,Sonder,,Loop,41.87055,-87.62528,Entire home/apt,130,2,6,2019-09-30,1.78,108,363
37089579,Sonder | Essex on the Park | Luxurious 1BR + View,12243051,Sonder,,Loop,41.87031,-87.6236,Entire home/apt,154,2,8,2019-11-05,2.29,108,339
37089756,Sonder | Essex on the Park | Upscale 2BR + View,12243051,Sonder,,Loop,41.87174,-87.62525,Entire home/apt,175,2,5,2019-11-05,1.46,108,355
37091430,Brnd Nw Mdrn 2 Bed 2Bth In the 10th COOLEST Ngbrhd,88547320,Laura,,Lower West Side,41.85695,-87.68516,Entire home/apt,98,1,7,2019-10-27,5.12,1,276
37091876,New comfortable space to rest,71003759,Liliana,,Brighton Park,41.83059,-87.69453,Private room,65,1,7,2019-10-23,1.93,1,90
37092471,River West quiet condo close by to Downtown,219918368,Wojciech,,West Town,41.89452,-87.66354,Private room,68,1,11,2019-11-10,3.67,1,169
37094083,Entire home near Chicago O'Hare (ORD),117377182,Gina,,Norwood Park,41.97446,-87.82062,Entire home/apt,89,3,2,2019-11-08,2,1,355
37094238,"Gorgeous ""Campsite"" Loft in Wicker Park - 2C",2392656,Brett,,West Town,41.90259,-87.67314,Private room,100,2,4,2019-11-15,2.55,3,19
37096987,spacious loft in wicker park,1364115,Michele,,West Town,41.90958,-87.67557,Entire home/apt,110,2,4,2019-10-22,1.38,1,35
37099236,Sonder | Essex on the Park | Smart 2BR + View,12243051,Sonder,,Loop,41.87053,-87.62361,Entire home/apt,204,2,4,2019-09-17,1.03,108,365
37104376,Sonder | Essex on the Park | Premier 1BR + View,12243051,Sonder,,Loop,41.87083,-87.62413,Entire home/apt,150,2,9,2019-11-04,2.31,108,332
37107126,Sonder | Essex on the Park | Warm 1BR,12243051,Sonder,,Loop,41.87184,-87.62375,Entire home/apt,132,2,8,2019-11-01,2.18,108,365
37107960,Sleek Dupont Circle 1BR w/ W/D + Gym near Georgetown by Blueground,107434423,Blueground,,Near North Side,41.89977,-87.62693,Entire home/apt,111,30,0,,,119,338
37109075,Sonder | Essex on the Park | Stunning 2BR + View,12243051,Sonder,,Loop,41.87266,-87.62541,Entire home/apt,196,2,15,2019-11-02,3.75,108,358
37111652,★Your dreamy 3bd Loft | Voted #1 best location★,47577706,Ben,,Near West Side,41.88156,-87.65298,Entire home/apt,200,2,1,2019-10-22,1,1,137
37113529,West Town Charmer; Steps to Grand Ave Bus,11981271,Cory,,West Town,41.8924,-87.67973,Entire home/apt,127,2,6,2019-10-27,1.65,2,356
37114287,Sonder | Essex on the Park | Dreamy 2BR + View,12243051,Sonder,,Loop,41.87071,-87.62391,Entire home/apt,207,2,12,2019-10-24,3.10,108,364
37116111,4 Bedroom New Construction Duplex in West Town,87585422,Dan,,West Town,41.9055,-87.66385,Entire home/apt,295,3,3,2019-11-11,3,2,333
37116172,HUGE 5 Bedroom Legal Vacation Rental Near Downtown,226582852,Jane & Kris,,Grand Boulevard,41.81374,-87.62594,Entire home/apt,39,1,8,2019-10-20,2.29,10,93
37119907,Entire 3bdr apartment close to Downtown & O’Hare,33684866,Artie,,Ohare,41.97509,-87.84389,Entire home/apt,200,1,6,2019-10-28,1.71,1,351
37120023,Luxury 7 Bedroom Oasis in the city,279212977,Charles,,Lake View,41.93406,-87.66348,Entire home/apt,800,3,4,2019-10-20,1.10,1,0
37120060,"Private bed room-close to beach, train & downtown",266994493,Bharath,,Edgewater,41.9913,-87.66265,Private room,29,1,1,2019-08-16,0.31,3,321
37122393,South Loop Charming 1BR FREE PARKING,6294839,Liana,,Near South Side,41.85902,-87.62348,Entire home/apt,115,3,0,,,1,0
37122988,"High rise stay in River North, Chicago.",131843391,Ali,,Near North Side,41.89525,-87.63443,Entire home/apt,185,1,0,,,1,88
37123109,Sonder for Lollapalooza weekend,72761316,Sherri,,Loop,41.87524,-87.62925,Entire home/apt,525,4,0,,,1,324
37124736,Cozy luxury living in downtown chicago,189546197,Oluwafemi,,Near West Side,41.88076,-87.64727,Entire home/apt,150,1,13,2019-11-13,3.58,1,339
37125253,Prime LOCATION!! Bright SPACIOUS  High Rise Loft,279246725,Adri,,Loop,41.87485,-87.62937,Entire home/apt,157,2,24,2019-11-17,6.10,1,23
37125424,Chicago Luxury Abode,8540884,Faraz,,Near West Side,41.88723,-87.6445,Entire home/apt,250,3,3,2019-10-23,1.73,2,162
37132825,"Bright, modern, & secure in East Rogers Park",28137329,Lukas,,Rogers Park,42.00525,-87.66712,Entire home/apt,149,2,1,2019-09-18,0.46,1,89
37141549,Relax & Enjoy - Steps from Wicker Park,57277343,Rene,,West Town,41.90296,-87.69078,Entire home/apt,130,2,7,2019-10-27,1.88,2,37
37142836,Spacious 2 Bed-Logan Square,200838921,Francis,,Avondale,41.9335,-87.72312,Entire home/apt,80,4,2,2019-09-15,0.55,3,11
37143206,Shore side room,110725131,Ronak,,West Garfield Park,41.87776,-87.72073,Private room,39,30,2,2019-10-22,0.77,12,179
37143855,Cozy Bedroom/Office -- Great for Couples or Work,7891549,Laura (Lisa) Elizabeth,,Woodlawn,41.77533,-87.59419,Private room,47,1,18,2019-11-08,4.86,4,126
37145360,Skyrise in the Heart of Downtown Chicago,118889837,Chris,,Loop,41.88463,-87.63575,Entire home/apt,500,2,0,,,1,324
37145404,Cozy Suite near Logan Square,112604057,Michelle,,Avondale,41.93661,-87.69646,Private room,57,1,2,2019-09-03,0.63,1,0
37149589,Ravenswood Manor! Clean and priced right.,9731691,Kolleen,,Albany Park,41.96151,-87.70393,Entire home/apt,75,2,7,2019-10-20,1.93,1,335
37149805,Luxury 2Bdrm w/ Private Garden Patio!,11129557,Rent Local,,Lake View,41.95249,-87.65235,Entire home/apt,199,1,15,2019-10-26,4.95,33,132
37150695,Luxury 2Bdrm w/ 3 King Beds + Wrigley Field View!,11129557,Rent Local,,Lake View,41.95221,-87.65086,Entire home/apt,201,1,19,2019-10-23,5.94,33,124
37150866,(1) Private Room in Washington Park Apartment,160589045,Patrick,,Grand Boulevard,41.80383,-87.60882,Private room,42,1,8,2019-11-07,2.20,3,172
37151701,Luxury Loft w/ Gym & WRIGLEY FIELD VIEWS!,11129557,Rent Local,,Lake View,41.9522,-87.65221,Entire home/apt,206,1,24,2019-11-17,7.20,33,117
37151723,A Bed By Loyola,87383193,Miles,,Rogers Park,42.00119,-87.66772,Private room,29,1,10,2019-10-27,4.00,1,362
37151855,1 bed in Humboldt Park/Ukrainian Village apartment,279199086,Kelsey,,West Town,41.8986,-87.69713,Private room,95,1,0,,,1,0
37155635,Luxury Wrigleyville 2Bedroom w/ 3 King Beds!,11129557,Rent Local,,Lake View,41.95419,-87.65269,Entire home/apt,199,1,12,2019-11-17,3.53,33,128
37155897,Wrigleyville Luxury 2Bdrm w/ 3 Kings + City View!,11129557,Rent Local,,Lake View,41.95235,-87.65071,Entire home/apt,200,1,10,2019-11-16,3.03,33,122
37157210,Vibrant; 2BDR Apartment Near Midway Airport & DT,147648729,Mel,,Ashburn,41.74562,-87.70373,Entire home/apt,115,2,11,2019-10-20,3.03,4,352
37159021,Vibrant; Studio Apartment Near Midway Airport & DT,147648729,Mel,,Ashburn,41.74412,-87.70151,Entire home/apt,78,1,4,2019-11-11,1.09,4,351
37160407,The Grotto,15491177,Eve,,Avondale,41.93948,-87.71063,Entire home/apt,100,1,5,2019-10-14,1.69,1,0
37161942,Recently Renovated Bachelor Studio in S. Lakeview,15290001,Sonny,,Lake View,41.93584,-87.65171,Entire home/apt,45,2,10,2019-10-20,2.65,1,152
37172604,"Stylish 3 Bedroom, Sleeps 6",276538757,Kathrine,,Lower West Side,41.85589,-87.66237,Entire home/apt,165,1,20,2019-11-14,5.41,1,338
37178942,Whole house in Lakeview,29854235,Nick,,Lake View,41.93733,-87.655,Entire home/apt,1300,2,0,,,1,270
37181426,Mckinley Park Sweet Home,279796079,Wei,,Brighton Park,41.82298,-87.69374,Private room,79,2,9,2019-10-27,2.45,2,120
37181839,Affordable sofa bed 10 mins from Chicago downtown,279799925,Aqsa,,Near West Side,41.87241,-87.65285,Shared room,37,1,8,2019-10-23,2.20,1,108
37187781,2 BEDROOM 2 BATH ENTIRE PRIVATE CHICAGO APARTMENT,226582852,Jane & Kris,,Near North Side,41.88949,-87.62416,Entire home/apt,49,1,14,2019-10-25,5.45,10,41
37188303,Amazing  Master Bedroom With Private Bath,226582852,Jane & Kris,,Near West Side,41.86317,-87.64335,Private room,249,1,2,2019-10-23,0.55,10,10
37198925,2BR Elevator Bldg Condo - Steps to Restaurant Row!,22580828,Derek,,Near West Side,41.88718,-87.64582,Entire home/apt,259,2,14,2019-11-17,4.08,1,316
37201923,Comfy full-sized bed in living room area,48093605,Jeremiah,,Humboldt Park,41.89967,-87.70762,Shared room,30,1,4,2019-10-20,1.76,2,365
37202831,Private Rogers Park Bedroom & Bathroom,5159302,Osi,,Rogers Park,42.01094,-87.6686,Private room,55,2,8,2019-10-20,2.07,1,120
37204004,"private queen bedroom in nice apartment, and cats!",8968613,Stefe,,Bridgeport,41.83421,-87.65174,Private room,50,1,14,2019-11-12,3.65,1,34
37208183,Private bed-/bathroom in stunning Victorian home,208435562,Thomas,,Lincoln Park,41.92245,-87.64186,Private room,125,1,2,2019-10-19,1.50,1,16
37211813,PRIVATE CLEAN LOFT + FREE PARKING DOWNTOWN CHICAGO,55976787,Natalia,,Loop,41.87857,-87.63469,Private room,10,1,23,2019-10-29,6.05,73,66
37214052,Humbolt Park Weekender,4476754,Kyle,,Humboldt Park,41.90292,-87.71029,Private room,55,1,8,2019-10-23,2.67,2,0
37215644,"UChicago, Shops + Eats, Lake | Gym + W&D | Zencity",47172572,Zencity,,Hyde Park,41.80127,-87.58988,Hotel room,23,1,13,2019-10-29,4.06,57,146
37216227,2BR house/Private Patio,198696003,Margaret,,West Town,41.9001,-87.68803,Entire home/apt,109,1,6,2019-10-13,1.64,2,0
37216411,Modern Home: Up the street from hip Logan Square,22671894,Melissa & Danny,,Avondale,41.93631,-87.7083,Entire home/apt,159,2,18,2019-11-03,5.05,1,163
